it,bt,km,transmission,ownerNo,oem,model,modelYear,price_in_lakhs,Insurance Validity,Fuel Type,Seats,Safety_count,top_features_count,Color,No of Cylinder,Turbo Charger,Super Charger,City,Power,Torque
0,Sedan,80000,Automatic,2,BMW,BMW 3 Series,2008,6.0,third party insurance,Diesel,5,25,9,Others,4.0,yes,no,Bangalore,170.0,34.7
0,SUV,30000,Automatic,1,Jeep,Jeep Compass,2021,24.5,third party insurance,Petrol,5,38,9,Others,4.0,no,no,Bangalore,160.77,250.0
0,SUV,20000,Automatic,1,Kia,Kia Seltos,2020,16.25,third party insurance,Petrol,5,34,9,Others,4.0,yes,no,Bangalore,138.08,242.0
0,Sedan,36349,Automatic,1,Skoda,Skoda Superb,2014,16.5,not available,Diesel,5,18,9,White,4.0,yes,no,Bangalore,138.1,320.0
0,Hatchback,80000,Manual,3,Hyundai,Hyundai i10,2009,2.49,third party insurance,Petrol,5,11,9,Others,4.0,no,no,Bangalore,78.9,111.8
0,SUV,83394,Manual,2,Renault,Renault Duster,2014,6.3,not available,Petrol,5,14,8,Red,4.0,no,no,Bangalore,102.57,145.0
0,SUV,30000,Automatic,2,Audi,Audi Q5,2016,25.99,third party insurance,Diesel,5,30,9,Others,4.0,yes,no,Bangalore,174.3,380.0
0,Hatchback,80000,Manual,3,Hyundai,Hyundai i10,2009,2.49,third party insurance,Petrol,5,11,9,Others,4.0,no,no,Bangalore,78.9,111.8
0,Hatchback,52204,Manual,1,Maruti,Maruti Alto K10,2017,3.85,third party,Petrol,5,20,9,Silver,3.0,no,no,Bangalore,65.71,89.0
0,Hatchback,110000,Manual,3,Hyundai,Hyundai i20,2012,3.0,third party insurance,Petrol,5,17,9,Red,4.0,no,no,Bangalore,80.0,11.4
0,SUV,89000,Automatic,1,Ford,Ford Endeavour,2017,29.75,third party insurance,Diesel,7,32,9,Black,4.0,yes,no,Bangalore,197.0,470.0
0,Hatchback,29813,Manual,2,Maruti,Maruti Alto 800,2014,2.76,comprehensive,Petrol,5,17,9,Others,3.0,no,no,Bangalore,47.33,69.0
0,Hatchback,30000,Manual,1,Ford,Ford Figo,2018,5.0,third party insurance,Petrol,5,24,9,Gray,4.0,no,no,Bangalore,86.8,112.0
0,Hatchback,13345,Automatic,1,Maruti,Maruti Ignis,2020,7.3,comprehensive,Petrol,5,23,9,White,4.0,no,no,Bangalore,81.8,113.0
0,SUV,17100,Automatic,1,Hyundai,Hyundai Alcazar,2022,22.45,comprehensive,Diesel,7,32,9,Grey,4.0,yes,no,Bangalore,113.42,250.0
0,Hatchback,75000,Manual,1,Hyundai,Hyundai Grand i10,2014,3.99,comprehensive,Petrol,5,17,9,Grey,4.0,no,no,Bangalore,82.0,114.0
0,Hatchback,75523,Manual,2,Hyundai,Hyundai i10,2011,3.12,comprehensive,Petrol,5,11,9,Red,4.0,no,no,Bangalore,78.9,111.8
0,SUV,47000,Manual,1,Mahindra,Mahindra XUV500,2015,12.75,comprehensive,Diesel,7,30,9,Silver,4.0,yes,no,Bangalore,140.0,330.0
0,SUV,36500,Manual,1,Tata,Tata Harrier,2022,19.9,comprehensive,Diesel,5,22,9,White,4.0,yes,no,Bangalore,167.67,350.0
0,MUV,28253,Manual,1,Renault,Renault Triber,2020,7.19,comprehensive,Petrol,7,20,9,Silver,3.0,no,no,Bangalore,71.01,96.0
0,SUV,50000,Manual,1,Hyundai,Hyundai Creta,2016,12.6,third party insurance,Diesel,5,24,9,White,4.0,yes,no,Bangalore,126.2,259.9
0,Hatchback,90000,Manual,2,Hyundai,Hyundai i10,2010,3.0,third party insurance,Petrol,5,10,8,Others,4.0,no,no,Bangalore,78.9,111.7
0,SUV,70000,Automatic,2,BMW,BMW X5,2016,39.81,third party insurance,Diesel,5,34,9,Others,6.0,yes,no,Bangalore,258.0,560.0
0,Hatchback,52571,Manual,1,Hyundai,Hyundai i20,2016,6.27,comprehensive,Petrol,5,24,9,Grey,4.0,no,no,Bangalore,81.83,114.7
